"","Road.type","Site","Transect","Distance","Acari","Annelida","Araneae","Coleoptera","Collembola","Diptera","Gastropoda","Hemiptera","Hymenoptera","Isopoda","Larvea","Thysanoptera","Symphyla","unknown","Transect_id","abundance","Shannons","Simpsons"
"1","Small","1","1","0",0,0,0,0,3,1,0,0,1,0,1,0,0,0,"S1T1",6,1.31437384300695,0.666666666666667
"2","Small","1","1","6",1,1,1,0,2,1,1,0,0,0,0,0,0,0,"S1T1",7,1.56708122929332,0.704081632653061
"3","Small","1","1","12",0,1,0,1,0,0,0,0,0,0,0,0,0,0,"S1T1",2,1.03972077083992,0.625
"4","Small","1","1","18",0,0,0,0,5,1,0,0,0,0,0,0,0,0,"S1T1",6,0.918427784993098,0.569444444444444
"5","Small","1","2","0",0,0,2,0,1,1,0,0,0,0,0,0,0,0,"S1T2",4,1.2130075659799,0.65625
"6","Small","1","2","6",0,0,0,0,0,2,0,0,0,0,0,0,0,0,"S1T2",2,0.693147180559945,0.5
"7","Small","1","2","12",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"S1T2",1,0.693147180559945,0.5
"8","Small","1","2","18",0,0,0,1,2,0,0,0,1,0,0,0,0,0,"S1T2",4,1.2130075659799,0.65625
"9","Small","1","3","0",1,0,1,1,3,2,0,1,0,0,0,0,0,0,"S1T3",9,1.53164106772115,0.697530864197531
"10","Small","1","3","6",1,0,0,0,2,0,0,1,0,0,0,0,0,0,"S1T3",4,1.2130075659799,0.65625
"11","Small","1","3","12",0,0,0,1,2,0,0,0,1,0,0,0,0,0,"S1T3",4,1.2130075659799,0.65625
"12","Small","1","3","18",1,0,1,1,0,0,0,1,0,0,0,0,0,0,"S1T3",4,1.38629436111989,0.6875
"13","Small","2","1","0",0,0,0,6,1,1,0,0,0,0,0,0,0,0,"S2T1",8,1.06095815043934,0.6015625
"14","Small","2","1","6",1,0,1,2,0,2,0,0,0,0,0,0,0,0,"S2T1",6,1.35797785498732,0.680555555555556
"15","Small","2","1","12",0,0,0,0,0,1,0,0,1,0,0,0,0,0,"S2T1",2,1.03972077083992,0.625
"16","Small","2","1","18",0,0,0,2,0,0,0,0,0,0,1,0,0,0,"S2T1",3,1.01140426470735,0.611111111111111
"17","Small","2","2","0",1,0,2,0,0,0,0,0,0,0,0,0,0,0,"S2T2",3,1.01140426470735,0.611111111111111
"18","Small","2","2","6",0,0,0,2,2,2,0,0,1,0,1,1,0,0,"S2T2",9,1.56071040904141,0.703703703703704
"19","Small","2","2","12",0,0,0,0,0,1,0,0,1,0,1,0,0,0,"S2T2",3,1.242453324894,0.666666666666667
"20","Small","2","2","18",0,0,0,2,0,1,0,0,2,0,0,0,0,0,"S2T2",5,1.22060726455302,0.66
"21","Small","2","3","0",1,0,2,3,1,2,0,0,0,0,0,0,0,0,"S2T3",9,1.4546247143256,0.691358024691358
"22","Small","2","3","6",0,0,0,1,1,3,0,0,4,0,0,0,0,0,"S2T3",9,1.30059200753451,0.666666666666667
"23","Small","2","3","12",0,0,1,1,2,5,0,0,2,0,0,0,0,0,"S2T3",11,1.4002867131223,0.677685950413223
"24","Small","2","3","18",0,0,1,1,1,1,0,0,1,0,0,0,0,0,"S2T3",5,1.497866136777,0.7
"25","Road","3","1","0",1,0,0,2,3,0,0,0,0,0,0,0,0,0,"S3T1",6,1.19884931291362,0.652777777777778
"26","Road","3","1","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S3T1",0,0,1
"27","Road","3","1","12",0,0,0,1,1,0,0,2,2,1,1,0,0,0,"S3T1",8,1.55958115625988,0.703125
"28","Road","3","1","18",0,0,0,2,1,0,0,0,0,0,0,0,0,0,"S3T1",3,1.01140426470735,0.611111111111111
"29","Road","3","2","0",2,0,0,1,0,0,0,0,0,0,1,0,0,0,"S3T2",4,1.2130075659799,0.65625
"30","Road","3","2","6",0,0,2,3,2,0,0,0,1,0,0,0,0,0,"S3T2",8,1.35359135213461,0.6796875
"31","Road","3","2","12",1,0,2,5,0,0,0,0,0,0,0,0,0,0,"S3T2",8,1.14327520619421,0.6328125
"32","Road","3","2","18",0,0,3,2,1,0,0,0,0,0,0,0,0,0,"S3T2",6,1.19884931291362,0.652777777777778
"33","Road","3","3","0",0,0,0,0,2,0,0,0,1,0,0,0,0,0,"S3T3",3,1.01140426470735,0.611111111111111
"34","Road","3","3","6",1,0,3,3,0,0,0,1,0,0,0,0,1,0,"S3T3",9,1.42555537300535,0.685185185185185
"35","Road","3","3","12",0,0,0,0,0,1,0,0,1,0,0,0,0,0,"S3T3",2,1.03972077083992,0.625
"36","Road","3","3","18",0,0,1,2,0,0,0,0,2,0,0,0,0,0,"S3T3",5,1.22060726455302,0.66
"37","Road","4","1","0",0,0,0,7,0,0,0,3,5,0,0,0,0,0,"S4T1",15,1.21502569872565,0.657777777777778
"38","Road","4","1","6",1,0,2,0,1,6,0,1,0,0,0,0,0,0,"S4T1",11,1.34041976348239,0.661157024793388
"39","Road","4","1","12",0,0,0,2,0,24,0,2,0,0,0,0,0,0,"S4T1",28,0.947715852601289,0.563775510204082
"40","Road","4","1","18",15,0,0,3,2,15,0,2,0,0,0,0,0,0,"S4T1",37,1.31874219605354,0.664718772826881
"41","Road","4","2","0",0,0,4,5,3,0,0,1,1,0,0,0,0,0,"S4T2",14,1.40952570705849,0.683673469387755
"42","Road","4","2","6",1,0,9,1,2,5,0,0,0,0,0,0,0,0,"S4T2",18,1.32698569508257,0.66358024691358
"43","Road","4","2","12",3,0,3,6,2,1,0,6,3,0,1,0,0,0,"S4T2",25,1.64708672119665,0.708
"44","Road","4","2","18",5,0,1,4,6,3,0,1,1,0,0,0,0,0,"S4T2",21,1.55734266875445,0.699546485260771
"45","Road","4","3","0",0,0,2,3,0,2,0,0,2,0,2,0,0,0,"S4T3",11,1.49023053011895,0.698347107438017
"46","Road","4","3","6",3,0,4,15,2,1,0,1,0,0,0,0,0,0,"S4T3",26,1.34434810941421,0.655325443786982
"47","Road","4","3","12",3,0,2,5,1,2,0,0,0,0,0,0,0,0,"S4T3",13,1.43271358427477,0.686390532544379
"48","Road","4","3","18",5,0,1,2,0,1,0,7,1,0,0,0,0,0,"S4T3",17,1.43166988297989,0.679930795847751
"49","Road","5","1","0",1,0,0,2,1,2,0,1,0,0,0,0,0,0,"S5T1",7,1.46806020349905,0.693877551020408
"50","Road","5","1","6",1,0,0,2,1,2,0,1,0,0,0,0,0,0,"S5T1",7,1.46806020349905,0.693877551020408
"51","Road","5","1","12",0,0,1,2,2,0,0,0,1,0,0,0,0,0,"S5T1",6,1.35797785498732,0.680555555555556
"52","Road","5","1","18",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"S5T1",1,0.693147180559945,0.5
"53","Road","5","2","0",0,1,1,1,0,1,0,0,0,0,0,0,0,0,"S5T2",4,1.38629436111989,0.6875
"54","Road","5","2","6",1,0,1,1,2,0,0,0,0,0,0,0,0,0,"S5T2",5,1.35923670066501,0.68
"55","Road","5","2","12",1,0,0,0,0,0,0,0,1,0,0,0,0,0,"S5T2",2,1.03972077083992,0.625
"56","Road","5","2","18",0,0,1,0,0,0,0,0,3,0,0,0,0,0,"S5T2",4,0.974314752869349,0.59375
"57","Road","5","3","0",0,0,0,0,2,0,0,0,0,0,0,0,0,0,"S5T3",2,0.693147180559945,0.5
"58","Road","5","3","6",0,0,1,0,1,0,0,0,0,0,0,0,0,0,"S5T3",2,1.03972077083992,0.625
"59","Road","5","3","12",0,0,0,1,0,0,0,0,0,1,0,0,0,0,"S5T3",2,1.03972077083992,0.625
"60","Road","5","3","18",0,0,0,1,1,2,0,2,1,2,0,0,0,0,"S5T3",9,1.56071040904141,0.703703703703704
"61","Small","6","1","0",0,0,0,1,0,7,0,0,2,0,0,0,0,0,"S6T1",10,1.09405645683161,0.615
"62","Small","6","1","6",3,0,0,0,1,1,0,0,1,0,0,0,0,1,"S6T1",7,1.43068533608729,0.683673469387755
"63","Small","6","1","12",0,0,1,5,0,2,0,0,0,0,0,0,0,0,"S6T1",8,1.14327520619421,0.6328125
"64","Small","6","1","18",0,0,0,2,2,0,0,0,7,0,1,0,0,0,"S6T1",12,1.25251884855282,0.649305555555556
"65","Small","6","2","0",0,0,2,3,2,0,0,0,1,0,1,0,0,0,"S6T2",9,1.4546247143256,0.691358024691358
"66","Small","6","2","6",2,0,2,0,1,0,0,1,0,0,0,0,0,0,"S6T2",6,1.35797785498732,0.680555555555556
"67","Small","6","2","12",1,0,0,0,1,0,0,0,0,0,0,0,0,0,"S6T2",2,1.03972077083992,0.625
"68","Small","6","2","18",0,0,0,1,1,0,0,0,1,0,0,0,0,0,"S6T2",3,1.242453324894,0.666666666666667
"69","Small","6","3","0",3,0,0,1,4,0,0,0,0,0,0,0,0,0,"S6T3",8,1.18030455699462,0.6484375
"70","Small","6","3","6",0,0,0,2,1,0,0,0,0,0,0,0,0,0,"S6T3",3,1.01140426470735,0.611111111111111
"71","Small","6","3","12",0,0,0,1,2,1,0,1,0,0,0,0,0,0,"S6T3",5,1.35923670066501,0.68
"72","Small","6","3","18",0,0,0,0,3,1,0,0,0,0,0,0,0,0,"S6T3",4,0.974314752869349,0.59375
