Transect_id,Shannons,Simpsons,density
S1T1,1.242453325,0.666666667,8.266666667
S1T1,1.747868097,0.816326531,12.53333333
S1T1,0.693147181,0.5,15.23333333
S1T1,0.450561209,0.277777778,10.46666667
S1T2,1.039720771,0.625,8.666666667
S1T2,0,0,12.33333333
S1T2,0,0,25.33333333
S1T2,1.039720771,0.625,15.33333333
S1T3,1.676987774,0.790123457,15.16666667
S1T3,1.039720771,0.625,15.16666667
S1T3,1.039720771,0.625,16.33333333
S1T3,1.386294361,0.75,13.83333333
S2T1,0.73562194,0.40625,7.333333333
S2T1,1.329661349,0.722222222,11.96666667
S2T1,0.693147181,0.5,14.6
S2T1,0.636514168,0.444444444,12.66666667
S2T2,0.636514168,0.444444444,14
S2T2,1.735126457,0.814814815,12.33333333
S2T2,1.098612289,0.666666667,15.16666667
S2T2,1.054920168,0.64,15.33333333
S2T3,1.522955068,0.765432099,10.83333333
S2T3,1.214889654,0.666666667,30.83333333
S2T3,1.414279065,0.710743802,18.33333333
S2T3,1.609437912,0.8,23.33333333
S3T1,1.011404265,0.611111111,4.666666667
S3T1,0,1,21.66666667
S3T1,1.732867951,0.8125,30.33333333
S3T1,0.636514168,0.444444444,12.66666667
S3T2,1.039720771,0.625,8
S3T2,1.320888343,0.71875,10
S3T2,0.900256051,0.53125,13
S3T2,1.011404265,0.611111111,13.66666667
S3T3,0.636514168,0.444444444,4
S3T3,1.464816385,0.740740741,15.33333333
S3T3,0.693147181,0.5,16.66666667
S3T3,1.054920168,0.64,7.666666667
S4T1,1.043757036,0.631111111,5.666666667
S4T1,1.294545166,0.644628099,57.66666667
S4T1,0.509137344,0.255102041,29
S4T1,1.251190031,0.658875091,7.333333333
S4T2,1.432757053,0.734693878,31
S4T2,1.267677029,0.654320988,11.5
S4T2,1.907879081,0.832,14.5
S4T2,1.728390976,0.798185941,23
S4T3,1.594166699,0.79338843,3
S4T3,1.302401858,0.621301775,14.66666667
S4T3,1.479132807,0.74556213,13
S4T3,1.477045405,0.719723183,15.33333333
S5T1,1.549826046,0.775510204,7.666666667
S5T1,1.549826046,0.775510204,20.83333333
S5T1,1.329661349,0.722222222,13.66666667
S5T1,0,0,20.16666667
S5T2,1.386294361,0.75,4.833333333
S5T2,1.33217904,0.72,24
S5T2,0.693147181,0.5,21
S5T2,0.562335145,0.375,26.83333333
S5T3,0,0,18
S5T3,0.693147181,0.5,39.66666667
S5T3,0.693147181,0.5,11.66666667
S5T3,1.735126457,0.814814815,11
S6T1,0.801818553,0.46,12.33333333
S6T1,1.475076311,0.734693878,9.333333333
S6T1,0.900256051,0.53125,9.666666667
S6T1,1.118743336,0.597222222,18
S6T2,1.522955068,0.765432099,8.666666667
S6T2,1.329661349,0.722222222,12.33333333
S6T2,0.693147181,0.5,9.666666667
S6T2,1.098612289,0.666666667,13.33333333
S6T3,0.974314753,0.59375,14
S6T3,0.636514168,0.444444444,9
S6T3,1.33217904,0.72,10
S6T3,0.562335145,0.375,8.666666667