Site type,Site,Transect,Distance from road (m),Acari,Annelida,Araneae,Coleoptera,Collembola,Dermaptera,Diptera,Gastropoda,Hemiptera,Hymenoptera,Isopoda,Larvea,Thysanoptera,Symphyla,unknown
Small,1,1,0,,,,,3,,1,,,1,,1,,,
Small,1,1,6,1,1,1,,2,,1,1,,,,,,,
Small,1,1,12,,1,,1,,,,,,,,,,,
Small,1,1,18,,,,,5,,1,,,,,,,,
Small,1,2,0,,,2,,1,,1,,,,,,,,
Small,1,2,6,,,,,,,2,,,,,,,,
Small,1,2,12,,,,,,,,,,,,1,,,
Small,1,2,18,,,,1,2,,,,,1,,,,,
Small,1,3,0,1,,1,1,3,,2,,1,,,,,,
Small,1,3,6,1,,,,2,,,,1,,,,,,
Small,1,3,12,,,,1,2,,,,,1,,,,,
Small,1,3,18,1,,1,1,,,,,1,,,,,,
Small,2,1,0,,,,6,1,,1,,,,,,,,
Small,2,1,6,1,,1,2,,,2,,,,,,,,
Small,2,1,12,,,,,,,1,,,1,,,,,
Small,2,1,18,,,,2,,,,,,,,1,,,
Small,2,2,0,1,,2,,,,,,,,,,,,
Small,2,2,6,,,,2,2,,2,,,1,,1,1,,
Small,2,2,12,,,,,,,1,,,1,,1,,,
Small,2,2,18,,,,2,,,1,,,2,,,,,
Small,2,3,0,1,,2,3,1,,2,,,,,,,,
Small,2,3,6,,,,1,1,,3,,,4,,,,,
Small,2,3,12,,,1,1,2,,5,,,2,,,,,
Small,2,3,18,,,1,1,1,,1,,,1,,,,,
Road,3,1,0,1,,,2,3,,,,,,,,,,
Road,3,1,6,,,,,,,,,,,,,,,
Road,3,1,12,,,,1,1,,,,2,2,1,1,,,
Road,3,1,18,,,,2,1,,,,,,,,,,
Road,3,2,0,2,,,1,,,,,,,,1,,,
Road,3,2,6,,,2,3,2,,,,,1,,,,,
Road,3,2,12,1,,2,5,,,,,,,,,,,
Road,3,2,18,,,3,2,1,,,,,,,,,,
Road,3,3,0,,,,,2,,,,,1,,,,,
Road,3,3,6,1,,3,3,,,,,1,,,,,1,
Road,3,3,12,,,,,,,1,,,1,,,,,
Road,3,3,18,,,1,2,,,,,,2,,,,,
Road,4,1,0,,,,7,,,,,3,5,,,,,
Road,4,1,6,1,,2,,1,,6,,1,,,,,,
Road,4,1,12,,,,2,,,24,,2,,,,,,
Road,4,1,18,15,,,3,2,,15,,2,,,,,,
Road,4,2,0,,,4,5,3,,,,1,1,,,,,
Road,4,2,6,1,,9,1,2,,5,,,,,,,,
Road,4,2,12,3,,3,6,2,,1,,6,3,,1,,,
Road,4,2,18,5,,1,4,6,,3,,1,1,,,,,
Road,4,3,0,,,2,3,,,2,,,2,,2,,,
Road,4,3,6,3,,4,15,2,,1,,1,,,,,,
Road,4,3,12,3,,2,5,1,,2,,,,,,,,
Road,4,3,18,5,,1,2,,,1,,7,1,,,,,
Road,5,1,0,1,,,2,1,,2,,1,,,,,,
Road,5,1,6,1,,,2,1,,2,,1,,,,,,
Road,5,1,12,,,1,2,2,,,,,1,,,,,
Road,5,1,18,,,,,,,,,1,,,,,,
Road,5,2,0,,1,1,1,,,1,,,,,,,,
Road,5,2,6,1,,1,1,2,,,,,,,,,,
Road,5,2,12,1,,,,,,,,,1,,,,,
Road,5,2,18,,,1,,,,,,,3,,,,,
Road,5,3,0,,,,,2,,,,,,,,,,
Road,5,3,6,,,1,,1,,,,,,,,,,
Road,5,3,12,,,,1,,,,,,,1,,,,
Road,5,3,18,,,,1,1,,2,,2,1,2,,,,
Small,6,1,0,,,,1,,,7,,,2,,,,,
Small,6,1,6,3,,,,1,,1,,,1,,,,,1
Small,6,1,12,,,1,5,,,2,,,,,,,,
Small,6,1,18,,,,2,2,,,,,7,,1,,,
Small,6,2,0,,,2,3,2,,,,,1,,1,,,
Small,6,2,6,2,,2,,1,,,,1,,,,,,
Small,6,2,12,1,,,,1,,,,,,,,,,
Small,6,2,18,,,,1,1,,,,,1,,,,,
Small,6,3,0,3,,,1,4,,,,,,,,,,
Small,6,3,6,,,,2,1,,,,,,,,,,
Small,6,3,12,,,,1,2,,1,,1,,,,,,
Small,6,3,18,,,,,3,,1,,,,,,,,